"block_id","conc_r","conc_c","response","drug_row","drug_col","conc_r_unit","conc_c_unit","cell_line_name","row","col","synergy_zip","synergy_hsa","synergy_bliss","synergy_loewe"
1,0,0,0,"5-FU","ABT-888","uM","uM","A2058",1,1,0,0,0,0
1,0,0.35,0.002174692,"5-FU","ABT-888","uM","uM","A2058",1,2,0,0,0,0
1,0,1.08,0.036243077,"5-FU","ABT-888","uM","uM","A2058",1,3,0,0,0,0
1,0,10,4.745666667,"5-FU","ABT-888","uM","uM","A2058",1,5,0,0,0,0
1,0,3.25,0.53906542,"5-FU","ABT-888","uM","uM","A2058",1,4,0,0,0,0
1,0.35,0,0.079164131,"5-FU","ABT-888","uM","uM","A2058",2,1,0,0,0,0
1,0.35,0.35,-0.156,"5-FU","ABT-888","uM","uM","A2058",2,2,0.195933312923388,-0.235157967246276,-0.239949723502786,-0.473616264594348
1,0.35,1.08,20.4515,"5-FU","ABT-888","uM","uM","A2058",2,3,10.3629106446366,20.3718019012535,20.332970514395,17.9502562349266
1,0.35,10,17.836,"5-FU","ABT-888","uM","uM","A2058",2,5,9.47902533409438,13.0899902296939,13.01209032544,-16.7358629575794
1,0.35,3.25,6.17375,"5-FU","ABT-888","uM","uM","A2058",2,4,9.8337195525909,5.63453689247675,5.55319678951581,-9.59247617960564
1,1.08,0,1.282152459,"5-FU","ABT-888","uM","uM","A2058",3,1,0,0,0,0
1,1.08,0.35,4.029,"5-FU","ABT-888","uM","uM","A2058",3,2,1.96398675844851,2.74677554493628,2.74204147861798,1.52818667576426
1,1.08,1.08,4.9275,"5-FU","ABT-888","uM","uM","A2058",3,3,7.73080126757399,3.64525199486213,3.60688811515311,4.87657948943412
1,1.08,10,15.00675,"5-FU","ABT-888","uM","uM","A2058",3,5,12.2454414411331,10.2608143855617,9.03707603760302,14.2016259773451
1,1.08,3.25,12.40575,"5-FU","ABT-888","uM","uM","A2058",3,4,10.2275848391512,11.1233059866908,10.588592733104,12.0345567473924
1,10,0,34.29008536,"5-FU","ABT-888","uM","uM","A2058",5,1,0,0,0,0
1,10,0.35,41.45225,"5-FU","ABT-888","uM","uM","A2058",5,2,7.03278425985985,7.16197691656282,7.1588257630336,6.87976805027984
1,10,1.08,42.587,"5-FU","ABT-888","uM","uM","A2058",5,3,7.34524222814275,8.29669717427386,8.27116088753613,42.540044546739
1,10,10,47.7565,"5-FU","ABT-888","uM","uM","A2058",5,5,10.7364424656198,13.4660616794399,10.3461293889737,47.6003585249368
1,10,3.25,45.8305,"5-FU","ABT-888","uM","uM","A2058",5,4,10.9492976556639,11.5401121607341,11.184189061464,9.73395278351617
1,3.25,0,13.46791095,"5-FU","ABT-888","uM","uM","A2058",4,1,0,0,0,0
1,3.25,0.35,20.44225,"5-FU","ABT-888","uM","uM","A2058",4,2,5.14582074764183,6.97415624955288,6.97000655769444,4.6756498368296
1,3.25,1.08,18.19625,"5-FU","ABT-888","uM","uM","A2058",4,3,7.69091410177231,4.72821511818563,4.69458688643245,-1.92851722396587
1,3.25,10,35.84425,"5-FU","ABT-888","uM","uM","A2058",4,5,16.2917516237311,22.3757525564622,18.2671753308231,35.6061921215528
